Country,Year,Total,V_total,R,R_V_ratio,capacity_factor,band,rupture_probability,rupture_occurred
Somalia,2023,111.9,9.325,0.6750000000000007,0.0723860589812333,0.0675000000000001,1-2 quarters,0.9638069705093834,0
Yemen,2023,108.9,9.075,0.9250000000000008,0.1019283746556474,0.0925,1-2 quarters,0.9490358126721764,0
South Sudan,2023,108.5,9.041666666666668,0.958333333333332,0.1059907834101381,0.0958333333333332,1-2 quarters,0.9470046082949308,0
Congo Democratic Republic,2023,107.19999999999996,8.933333333333332,1.0666666666666682,0.119402985074627,0.1066666666666669,1-2 quarters,0.9402985074626864,0
Syria,2023,107.1,8.925,1.0749999999999993,0.1204481792717085,0.1074999999999999,1-2 quarters,0.9397759103641457,0
Afghanistan,2023,106.6,8.883333333333335,1.1166666666666654,0.1257035647279548,0.1116666666666665,1-2 quarters,0.9371482176360226,0
Sudan,2023,106.2,8.85,1.1500000000000004,0.1299435028248588,0.1150000000000001,1-2 quarters,0.9350282485875706,0
Central African Republic,2023,105.70000000000002,8.808333333333335,1.1916666666666649,0.1352885525070953,0.1191666666666665,1-2 quarters,0.9323557237464524,0
Chad,2023,104.6,8.716666666666667,1.2833333333333332,0.147227533460803,0.1283333333333333,1-2 quarters,0.9263862332695983,0
Haiti,2023,102.9,8.575,1.4250000000000007,0.1661807580174928,0.1425,1-2 quarters,0.9169096209912536,0
Ethiopia,2023,100.4,8.366666666666665,1.6333333333333346,0.1952191235059762,0.1633333333333334,1-2 quarters,0.9023904382470118,0
Myanmar,2023,100.19999999999996,8.349999999999998,1.650000000000002,0.1976047904191619,0.1650000000000002,1-2 quarters,0.901197604790419,0
Mali,2023,99.5,8.291666666666666,1.708333333333334,0.2060301507537689,0.1708333333333332,1-2 quarters,0.8969849246231155,0
Guinea,2023,98.5,8.208333333333334,1.791666666666666,0.2182741116751268,0.1791666666666665,1-2 quarters,0.8908629441624366,0
Nigeria,2023,98.0,8.166666666666666,1.833333333333334,0.2244897959183674,0.1833333333333334,1-2 quarters,0.8877551020408163,0
Zimbabwe,2023,96.9,8.075000000000001,1.924999999999999,0.2383900928792568,0.1925,1-2 quarters,0.8808049535603716,0
Libya,2023,96.1,8.008333333333333,1.9916666666666671,0.2486992715920916,0.1991666666666667,1-2 quarters,0.8756503642039541,0
Ukraine,2023,95.9,7.991666666666666,2.0083333333333337,0.251303441084463,0.2008333333333334,1-2 quarters,0.8743482794577685,0
Eritrea,2023,94.5,7.874999999999999,2.125000000000001,0.26984126984127,0.2125000000000001,1-2 quarters,0.865079365079365,0
Burundi,2023,94.2,7.849999999999999,2.150000000000001,0.2738853503184715,0.215,1-2 quarters,0.8630573248407643,0
Burkina Faso,2023,94.0,7.833333333333335,2.166666666666665,0.2765957446808508,0.2166666666666665,1-2 quarters,0.8617021276595747,0
Mozambique,2023,94.0,7.833333333333333,2.166666666666667,0.2765957446808511,0.2166666666666666,1-2 quarters,0.8617021276595744,0
Cameroon,2023,94.0,7.833333333333332,2.166666666666668,0.2765957446808512,0.2166666666666667,1-2 quarters,0.8617021276595744,0
Niger,2023,93.4,7.783333333333332,2.216666666666668,0.2847965738758031,0.2216666666666668,1-2 quarters,0.8576017130620984,0
Lebanon,2023,91.79999999999998,7.649999999999999,2.3500000000000014,0.3071895424836603,0.2350000000000001,1-2 quarters,0.8464052287581698,0
Uganda,2023,91.5,7.625,2.375,0.3114754098360656,0.2375,1-2 quarters,0.8442622950819672,0
Iraq,2023,91.4,7.616666666666666,2.3833333333333337,0.312910284463895,0.2383333333333334,1-2 quarters,0.8435448577680524,0
Congo Republic,2023,90.7,7.558333333333334,2.4416666666666664,0.3230429988974641,0.2441666666666666,1-2 quarters,0.8384785005512679,0
Venezuela,2023,90.5,7.541666666666667,2.458333333333333,0.3259668508287292,0.2458333333333333,1-2 quarters,0.8370165745856354,0
Sri Lanka,2023,90.3,7.525000000000001,2.4749999999999988,0.3289036544850496,0.2474999999999999,1-2 quarters,0.8355481727574752,1
Guinea Bissau,2023,89.90000000000002,7.491666666666668,2.508333333333332,0.3348164627363735,0.2508333333333331,1-2 quarters,0.8325917686318133,0
Pakistan,2023,89.89999999999999,7.491666666666666,2.5083333333333337,0.3348164627363738,0.2508333333333333,1-2 quarters,0.8325917686318131,0
Liberia,2023,88.89999999999999,7.408333333333332,2.591666666666668,0.3498312710911138,0.2591666666666667,1-2 quarters,0.8250843644544431,0
Palestine,2023,87.9,7.325,2.675,0.3651877133105802,0.2674999999999999,1-2 quarters,0.81740614334471,0
Kenya,2023,87.8,7.316666666666666,2.6833333333333336,0.3667425968109339,0.2683333333333333,1-2 quarters,0.816628701594533,0
Cote d'Ivoire,2023,87.10000000000001,7.258333333333334,2.7416666666666663,0.3777267508610791,0.2741666666666665,1-2 quarters,0.8111366245694605,0
Mauritania,2023,87.0,7.25,2.75,0.3793103448275862,0.275,1-2 quarters,0.8103448275862069,0
North Korea,2023,87.0,7.25,2.75,0.3793103448275862,0.275,1-2 quarters,0.8103448275862069,0
Angola,2023,86.9,7.241666666666667,2.758333333333333,0.3808975834292289,0.2758333333333332,1-2 quarters,0.8095512082853855,0
Iran,2023,85.39999999999999,7.116666666666666,2.8833333333333337,0.405152224824356,0.2883333333333334,1-2 quarters,0.797423887587822,0
Bangladesh,2023,85.19999999999999,7.099999999999999,2.900000000000001,0.4084507042253523,0.2900000000000001,1-2 quarters,0.7957746478873238,0
Equatorial Guinea,2023,84.4,7.033333333333334,2.966666666666666,0.4218009478672984,0.2966666666666666,1-2 quarters,0.7890995260663508,0
Malawi,2023,83.2,6.933333333333334,3.0666666666666664,0.4423076923076922,0.3066666666666666,1-2 quarters,0.7788461538461539,0
Rwanda,2023,82.30000000000001,6.858333333333334,3.1416666666666657,0.4580801944106923,0.3141666666666666,1-2 quarters,0.7709599027946539,0
Comoros,2023,82.2,6.8500000000000005,3.1499999999999995,0.45985401459854,0.3149999999999999,1-2 quarters,0.7700729927007299,0
Djibouti,2023,82.19999999999999,6.849999999999999,3.150000000000001,0.4598540145985404,0.315,1-2 quarters,0.7700729927007298,0
Togo,2023,82.1,6.841666666666666,3.158333333333334,0.4616321559074301,0.3158333333333334,1-2 quarters,0.7691839220462849,0
Zambia,2023,81.8,6.816666666666666,3.1833333333333336,0.4669926650366748,0.3183333333333333,1-2 quarters,0.7665036674816625,0
Madagascar,2023,81.7,6.808333333333334,3.1916666666666664,0.4687882496940024,0.3191666666666666,1-2 quarters,0.7656058751529988,0
Egypt,2023,81.6,6.8,3.2,0.4705882352941177,0.32,1-2 quarters,0.7647058823529411,0
Sierra Leone,2023,81.39999999999999,6.783333333333332,3.216666666666668,0.4742014742014744,0.3216666666666667,1-2 quarters,0.7628992628992628,0
Turkey,2023,81.19999999999999,6.766666666666666,3.2333333333333343,0.4778325123152711,0.3233333333333335,1-2 quarters,0.7610837438423644,0
Russia,2023,80.7,6.7250000000000005,3.2749999999999995,0.486988847583643,0.3275,1-2 quarters,0.7565055762081785,0
Cambodia,2023,80.30000000000001,6.691666666666667,3.3083333333333327,0.49439601494396,0.3308333333333332,1-2 quarters,0.75280199252802,0
Nepal,2023,80.2,6.683333333333334,3.3166666666666664,0.4962593516209476,0.3316666666666666,1-2 quarters,0.7518703241895262,0
Solomon Islands,2023,79.60000000000001,6.633333333333334,3.3666666666666663,0.5075376884422109,0.3366666666666665,2-4 quarters,0.7462311557788945,0
Honduras,2023,79.6,6.633333333333333,3.366666666666667,0.5075376884422111,0.3366666666666666,2-4 quarters,0.7462311557788944,0
Swaziland,2023,79.1,6.591666666666666,3.408333333333334,0.5170670037926677,0.3408333333333334,2-4 quarters,0.7414664981036662,0
Colombia,2023,78.1,6.508333333333333,3.491666666666667,0.5364916773367479,0.3491666666666667,2-4 quarters,0.7317541613316261,0
Papua New Guinea,2023,78.1,6.508333333333333,3.491666666666667,0.5364916773367479,0.3491666666666667,2-4 quarters,0.7317541613316261,0
Philippines,2023,77.8,6.483333333333333,3.5166666666666666,0.5424164524421594,0.3516666666666667,2-4 quarters,0.7287917737789202,0
Nicaragua,2023,77.7,6.4750000000000005,3.5249999999999995,0.5444015444015443,0.3524999999999999,2-4 quarters,0.7277992277992278,0
Timor-Leste,2023,77.5,6.458333333333333,3.541666666666667,0.5483870967741936,0.3541666666666666,2-4 quarters,0.7258064516129032,0
Guatemala,2023,77.3,6.441666666666666,3.5583333333333336,0.5523932729624839,0.3558333333333333,2-4 quarters,0.7238033635187581,0
Tanzania,2023,76.6,6.383333333333333,3.616666666666667,0.5665796344647521,0.3616666666666667,2-4 quarters,0.7167101827676239,0
Lesotho,2023,76.3,6.358333333333333,3.6416666666666666,0.5727391874180865,0.3641666666666666,2-4 quarters,0.7136304062909568,0
Gambia,2023,76.10000000000001,6.341666666666668,3.658333333333332,0.576872536136662,0.3658333333333332,2-4 quarters,0.711563731931669,0
Jordan,2023,75.7,6.308333333333334,3.6916666666666655,0.5852047556142668,0.3691666666666666,2-4 quarters,0.7073976221928666,0
Kyrgyz Republic,2023,75.60000000000001,6.300000000000001,3.6999999999999993,0.5873015873015871,0.3699999999999999,2-4 quarters,0.7063492063492065,0
Laos,2023,74.69999999999999,6.224999999999999,3.775000000000001,0.6064257028112453,0.3775,2-4 quarters,0.6967871485943773,0
Brazil,2023,74.5,6.208333333333333,3.791666666666667,0.6107382550335572,0.3791666666666666,2-4 quarters,0.6946308724832214,0
Tajikistan,2023,74.2,6.183333333333334,3.8166666666666655,0.6172506738544474,0.3816666666666666,2-4 quarters,0.6913746630727763,0
India,2023,74.10000000000001,6.175000000000001,3.8249999999999993,0.6194331983805667,0.3824999999999999,2-4 quarters,0.6902834008097167,0
Benin,2023,73.30000000000001,6.108333333333334,3.8916666666666657,0.637107776261937,0.3891666666666665,2-4 quarters,0.6814461118690315,0
Peru,2023,73.10000000000001,6.091666666666668,3.908333333333332,0.6415868673050613,0.3908333333333332,2-4 quarters,0.6792065663474693,0
Azerbaijan,2023,72.69999999999999,6.058333333333333,3.9416666666666673,0.6506189821182945,0.3941666666666668,2-4 quarters,0.6746905089408528,0
Bosnia and Herzegovina,2023,72.3,6.025,3.975000000000001,0.6597510373443984,0.3975000000000001,2-4 quarters,0.6701244813278008,0
South Africa,2023,72.0,6.0,4.0,0.6666666666666666,0.4,2-4 quarters,0.6666666666666667,0
Georgia,2023,71.89999999999999,5.991666666666666,4.008333333333334,0.6689847009735745,0.4008333333333334,2-4 quarters,0.6655076495132127,0
Senegal,2023,71.50000000000001,5.958333333333335,4.041666666666665,0.6783216783216779,0.4041666666666665,2-4 quarters,0.660839160839161,0
Bolivia,2023,70.7,5.891666666666667,4.108333333333333,0.6973125884016973,0.4108333333333333,2-4 quarters,0.6513437057991514,0
Fiji,2023,70.19999999999999,5.849999999999999,4.150000000000001,0.7094017094017098,0.4150000000000001,2-4 quarters,0.6452991452991451,0
Algeria,2023,69.99999999999999,5.833333333333332,4.166666666666668,0.7142857142857146,0.4166666666666667,2-4 quarters,0.6428571428571427,1
Belarus,2023,69.9,5.825,4.175,0.7167381974248926,0.4175,2-4 quarters,0.6416309012875536,0
Mexico,2023,69.8,5.816666666666666,4.183333333333334,0.7191977077363898,0.4183333333333333,2-4 quarters,0.6404011461318051,0
Sao Tome and Principe,2023,69.7,5.808333333333334,4.191666666666666,0.721664275466284,0.4191666666666667,2-4 quarters,0.639167862266858,0
Ecuador,2023,69.39999999999999,5.783333333333332,4.216666666666668,0.7291066282420753,0.4216666666666667,2-4 quarters,0.6354466858789624,0
Micronesia,2023,69.30000000000001,5.775000000000001,4.224999999999999,0.7316017316017313,0.4224999999999999,2-4 quarters,0.6341991341991344,0
El Salvador,2023,69.3,5.775,4.2250000000000005,0.7316017316017318,0.4225,2-4 quarters,0.6341991341991341,0
Morocco,2023,68.19999999999999,5.683333333333333,4.316666666666667,0.7595307917888565,0.4316666666666667,2-4 quarters,0.6202346041055717,0
Thailand,2023,68.0,5.666666666666667,4.333333333333333,0.7647058823529411,0.4333333333333333,2-4 quarters,0.6176470588235294,0
Serbia,2023,67.9,5.658333333333334,4.341666666666666,0.767304860088365,0.4341666666666666,2-4 quarters,0.6163475699558175,0
Armenia,2023,67.5,5.625,4.375,0.7777777777777778,0.4375,2-4 quarters,0.6111111111111112,0
Moldova,2023,67.39999999999999,5.616666666666666,4.383333333333334,0.7804154302670624,0.4383333333333333,2-4 quarters,0.6097922848664687,0
Uzbekistan,2023,66.80000000000001,5.566666666666667,4.433333333333333,0.7964071856287424,0.4433333333333332,2-4 quarters,0.6017964071856288,0
Bhutan,2023,66.4,5.533333333333334,4.466666666666666,0.8072289156626503,0.4466666666666666,4-6 quarters,0.5963855421686748,0
Tunisia,2023,66.39999999999999,5.533333333333332,4.466666666666668,0.807228915662651,0.4466666666666667,4-6 quarters,0.5963855421686746,0
Indonesia,2023,65.60000000000001,5.466666666666668,4.533333333333332,0.8292682926829265,0.4533333333333332,4-6 quarters,0.5853658536585368,0
Gabon,2023,65.50000000000001,5.458333333333335,4.541666666666665,0.8320610687022896,0.4541666666666665,4-6 quarters,0.5839694656488552,0
Saudi Arabia,2023,65.3,5.441666666666666,4.558333333333334,0.8376722817764166,0.4558333333333333,4-6 quarters,0.5811638591117917,0
